,,,,
,Ngày,Mã Cửa Hàng,Doanh Thu,Chi Phí
,1-Jan,CH 0056,19018,16661
,1-Jan,CH 0057,22404,18498
,1-Jan,CH 0058,36317,32451
,1-Jan,CH 0059,22401,19101
,1-Jan,CH 0060,38680,36295
,1-Jan,CH 0061,28783,24365
,1-Jan,CH 0062,21590,20507
,1-Jan,CH 0063,44113,41533
,1-Jan,CH 0064,35405,30144
,1-Jan,CH 0065,14120,11310
,1-Jan,CH 0066,32164,30166
,1-Jan,CH 0067,20908,19433
,1-Jan,CH 0068,9996,9324
,1-Jan,CH 0069,34709,28099
,1-Jan,CH 0070,15452,13710
,1-Jan,CH 0071,27931,25219
,1-Jan,CH 0072,7874,6970
,1-Jan,CH 0073,24485,20073
,1-Jan,CH 0074,5718,5115
,1-Jan,CH 0075,18794,16732
,1-Jan,CH 0076,27175,24357
,1-Jan,CH 0077,25836,23986
,1-Jan,CH 0078,32866,30764
,1-Jan,CH 0079,37573,30367
,1-Jan,CH 0080,19249,15510
,1-Jan,CH 0081,37592,34036
,1-Jan,CH 0082,24964,20760
,1-Jan,CH 0083,34482,31296
,1-Jan,CH 0084,28642,25700
,1-Jan,CH 0085,9524,8079
,1-Jan,CH 0086,22174,19906
,1-Jan,CH 0087,20569,16710
,1-Jan,CH 0088,16905,14199
,1-Jan,CH 0089,39509,32364
,1-Jan,CH 0090,10994,9527
,1-Jan,CH 0091,27478,24959
,1-Jan,CH 0092,35061,29384
,1-Jan,CH 0093,13930,12980
,1-Jan,CH 0094,11966,9716
,1-Jan,CH 0095,23099,21703
,1-Jan,CH 0096,21252,17230
,1-Jan,CH 0097,12367,9995
,1-Jan,CH 0098,39771,33717
,1-Jan,CH 0099,24179,21500
,1-Jan,CH 0100,11655,10835
,1-Jan,CH 0101,13002,11635
,1-Jan,CH 0102,15699,14909
,1-Jan,CH 0103,27550,24857
,1-Jan,CH 0104,39973,35107
,1-Jan,CH 0105,7777,7212
,1-Jan,CH 0106,38637,31285
,1-Jan,CH 0107,48699,46189
,1-Jan,CH 0108,39044,33236
,1-Jan,CH 0109,3524,3093
,1-Jan,CH 0110,17234,14689
,1-Jan,CH 0111,20144,16141
,1-Jan,CH 0112,29887,24940
,1-Jan,CH 0113,21702,17952
,1-Jan,CH 0114,28049,25844
,1-Jan,CH 0115,23482,19049
,1-Jan,CH 0116,39197,33859
,1-Jan,CH 0117,25700,22257
,1-Jan,CH 0118,21471,19930
,1-Jan,CH 0119,45082,40854
,1-Jan,CH 0120,27898,26014
,1-Jan,CH 0121,48660,41711
,1-Jan,CH 0122,19544,17739
,1-Jan,CH 0123,17176,14841
,1-Jan,CH 0124,13342,12123
,1-Jan,CH 0125,18802,15219
,1-Jan,CH 0126,25589,23038
,1-Jan,CH 0127,42568,36585
,1-Jan,CH 0128,25358,23259
,1-Jan,CH 0129,28307,25612
,1-Jan,CH 0130,17460,15980
,1-Jan,CH 0131,24883,21177
,1-Jan,CH 0132,25522,21476
,1-Jan,CH 0133,7371,6647
,1-Jan,CH 0134,14844,12668
,1-Jan,CH 0135,21683,19605
,1-Jan,CH 0136,45860,42976
,1-Jan,CH 0137,15227,13938
,1-Jan,CH 0138,11807,10466
,1-Jan,CH 0139,36773,33704
,1-Jan,CH 0140,30557,28160
,1-Jan,CH 0141,40308,32427
,1-Jan,CH 0142,30187,25440
,1-Jan,CH 0143,23774,20186
,1-Jan,CH 0144,11876,9721
,1-Jan,CH 0145,29376,27189
,1-Jan,CH 0146,34522,29144
,1-Jan,CH 0147,21612,19963
,1-Jan,CH 0148,21910,18253
,1-Jan,CH 0149,28109,23680
,1-Jan,CH 0150,44917,42401
,1-Jan,CH 0151,10842,10132
,1-Jan,CH 0152,19862,18127
,1-Jan,CH 0153,16478,13721
,1-Jan,CH 0154,11395,10788
,1-Jan,CH 0155,3787,3464
,1-Jan,CH 0156,11483,9269
,1-Jan,CH 0157,21089,17144
,1-Jan,CH 0158,27789,24198
,1-Jan,CH 0159,7689,6738
,1-Jan,CH 0160,14570,12435
,1-Jan,CH 0161,36512,32420
,1-Jan,CH 0162,40030,37177
,1-Jan,CH 0163,21794,17898
,1-Jan,CH 0164,11869,10959
,1-Jan,CH 0165,16417,15160
,1-Jan,CH 0166,28008,22985
,1-Jan,CH 0167,17973,14786
,1-Jan,CH 0168,33932,29028
,1-Jan,CH 0169,38100,34616
,1-Jan,CH 0170,22309,20704
,1-Jan,CH 0171,18620,16067
,1-Jan,CH 0172,9396,8915
,1-Jan,CH 0173,35066,30997
,1-Jan,CH 0174,27825,23176
,1-Jan,CH 0175,52369,44155
,1-Jan,CH 0176,18243,16620
,1-Jan,CH 0177,34732,28981
,1-Jan,CH 0178,15734,14275
,1-Jan,CH 0179,35557,28647
,1-Jan,CH 0180,39404,35604
,1-Jan,CH 0181,15617,13119
,1-Jan,CH 0182,26006,24231
,1-Jan,CH 0183,50208,41161
,1-Jan,CH 0184,13298,10836
,1-Jan,CH 0185,33216,31191
,1-Jan,CH 0186,12249,11162
,1-Jan,CH 0187,11177,9363
,1-Jan,CH 0188,36332,32120
,1-Jan,CH 0189,25877,23939
,1-Jan,CH 0190,18305,16231
,1-Jan,CH 0191,15255,12530
,1-Jan,CH 0192,24815,21780
,1-Jan,CH 0193,10337,8969
,1-Jan,CH 0194,23525,18944
,1-Jan,CH 0195,15372,13683
,1-Jan,CH 0196,26649,21472
,1-Jan,CH 0197,14798,12162
,1-Jan,CH 0198,23500,21523
,1-Jan,CH 0199,9857,8424
,1-Jan,CH 0200,45031,42591
,1-Jan,CH 0201,10366,9377
,1-Jan,CH 0202,22085,20958
,1-Jan,CH 0203,38471,33247
,1-Jan,CH 0204,323,275
,1-Jan,CH 0205,6562,5940
,1-Jan,CH 0206,22518,21088
,1-Jan,CH 0207,12209,9806
,1-Jan,CH 0208,12888,11539
,1-Jan,CH 0209,39746,34502
,1-Jan,CH 0210,29727,23996
,1-Jan,CH 0211,32743,26510
,1-Jan,CH 0212,23266,21236
,1-Jan,CH 0213,12900,11580
,1-Jan,CH 0214,13514,12239
,1-Jan,CH 0215,23973,22240
,1-Jan,CH 0216,26791,24286
,1-Jan,CH 0217,33532,31517
,1-Jan,CH 0218,9170,7612
,1-Jan,CH 0219,15857,13005
,1-Jan,CH 0220,29310,26451
,1-Jan,CH 0221,10691,8837
,1-Jan,CH 0222,9207,7905
,1-Jan,CH 0223,13625,12712
,1-Jan,CH 0224,15025,14270
,1-Jan,CH 0225,4379,3803
,1-Jan,CH 0226,8761,8189
,1-Jan,CH 0227,11069,10180
,1-Jan,CH 0228,16227,13162
,1-Jan,CH 0229,19018,16674
,1-Jan,CH 0230,9153,7349
,1-Jan,CH 0231,3517,2854
,1-Jan,CH 0232,15847,13520
,1-Jan,CH 0233,37016,32338
,1-Jan,CH 0234,25859,22549
,1-Jan,CH 0235,19790,17156
,1-Jan,CH 0236,15641,13871
,1-Jan,CH 0237,12144,10353
,1-Jan,CH 0238,10310,8342
,1-Jan,CH 0239,40499,38237
,1-Jan,CH 0240,21156,19808
,1-Jan,CH 0241,48844,39864
,1-Jan,CH 0242,46883,38942
,1-Jan,CH 0243,23743,20438
,1-Jan,CH 0244,37311,30531
,1-Jan,CH 0245,38851,36535
,1-Jan,CH 0246,18623,15208
,1-Jan,CH 0247,10135,9528
,1-Jan,CH 0248,13387,11543
,1-Jan,CH 0249,24006,19841
,1-Jan,CH 0250,19912,16697
,1-Jan,CH 0251,5691,5076
,1-Jan,CH 0252,18819,17479
,1-Jan,CH 0253,32631,28851
,1-Jan,CH 0254,18449,16571
,1-Jan,CH 0255,21602,19031
,1-Jan,CH 0256,18617,14963
,1-Jan,CH 0257,14894,13139
,1-Jan,CH 0258,10459,9262
,1-Jan,CH 0259,19999,18445
,1-Jan,CH 0260,8452,7768
,1-Jan,CH 0261,23884,21791
,1-Jan,CH 0262,25698,23677
,1-Jan,CH 0263,19479,18416
,1-Jan,CH 0264,19422,18109
,1-Jan,CH 0265,19227,15410
,1-Jan,CH 0266,22458,19509
,1-Jan,CH 0267,17434,15826
,1-Jan,CH 0268,32304,29167
,1-Jan,CH 0269,35174,30936
,1-Jan,CH 0270,19545,15666
,1-Jan,CH 0271,6278,5875
,1-Jan,CH 0272,18613,14954
,1-Jan,CH 0273,8607,7158
,1-Jan,CH 0274,15064,12213
,1-Jan,CH 0275,34944,31223
,1-Jan,CH 0276,12834,11543
,1-Jan,CH 0277,8060,7488
,1-Jan,CH 0278,38959,36876
,1-Jan,CH 0279,12829,12060
,1-Jan,CH 0280,10921,9893
,1-Jan,CH 0281,37929,31264
,1-Jan,CH 0282,40097,33715
,1-Jan,CH 0283,40994,38768
,1-Jan,CH 0284,15242,12625
,1-Jan,CH 0285,10840,10025
,1-Jan,CH 0286,14998,12823
,1-Jan,CH 0287,19419,18439
,1-Jan,CH 0288,33580,26976
,1-Jan,CH 0289,13711,11491
,1-Jan,CH 0290,8156,7199
,1-Jan,CH 0291,8872,7411
,1-Jan,CH 0292,16351,14876
,1-Jan,CH 0293,25434,22074
,1-Jan,CH 0294,8139,7546
,1-Jan,CH 0295,13680,12761
,1-Jan,CH 0296,33753,31366
,1-Jan,CH 0297,22787,18491
,1-Jan,CH 0298,30784,27997
,1-Jan,CH 0299,21870,19627
,1-Jan,CH 0300,11089,8980
,1-Jan,CH 0301,46872,42580
,1-Jan,CH 0302,3767,3511
,1-Jan,CH 0303,18613,15619
,1-Jan,CH 0304,42464,35493
,1-Jan,CH 0305,36704,30636
,1-Jan,CH 0306,19402,17547
,1-Jan,CH 0307,20054,17013
,1-Jan,CH 0308,14190,13292
,1-Jan,CH 0309,24361,21653
,1-Jan,CH 0310,23438,20314
,1-Jan,CH 0311,33943,27910
,1-Jan,CH 0312,7835,6949
,1-Jan,CH 0313,26312,22515
,1-Jan,CH 0314,14268,12390
,1-Jan,CH 0315,31512,28268
,1-Jan,CH 0316,20234,18145
,1-Jan,CH 0317,26582,23038
,1-Jan,CH 0318,39198,33083
,1-Jan,CH 0319,9304,8834
,1-Jan,CH 0320,17189,16078
,1-Jan,CH 0321,8095,7379
,1-Jan,CH 0322,11312,10745
,1-Jan,CH 0323,30368,26605
,1-Jan,CH 0324,20802,19480
,1-Jan,CH 0325,17196,13901
,1-Jan,CH 0326,29699,26402
,1-Jan,CH 0327,10485,8408
,1-Jan,CH 0328,26513,24872
,1-Jan,CH 0329,11226,9354
,1-Jan,CH 0330,3261,2654
,1-Jan,CH 0331,8764,7328
,1-Jan,CH 0332,15963,13243
,1-Jan,CH 0333,31275,26844
,1-Jan,CH 0334,18751,15810
,1-Jan,CH 0335,33490,29002
,1-Jan,CH 0336,17935,16810
,1-Jan,CH 0337,45284,37217
,1-Jan,CH 0338,21072,19531
,1-Jan,CH 0339,39003,35627
,1-Jan,CH 0340,23360,19174
,1-Jan,CH 0341,24614,21564
,1-Jan,CH 0342,16723,15756
,1-Jan,CH 0343,10619,9869
,1-Jan,CH 0344,6720,5580
,1-Jan,CH 0345,5650,5088
,1-Jan,CH 0346,9369,8543
,1-Jan,CH 0347,23996,20873
,1-Jan,CH 0348,15514,14157
,1-Jan,CH 0349,33661,29136
,1-Jan,CH 0350,16122,14181
,1-Jan,CH 0351,15319,12826
,1-Jan,CH 0352,28980,27070
,1-Jan,CH 0353,25142,22818
,1-Jan,CH 0354,3596,3095
,1-Jan,CH 0355,22645,19897
,1-Jan,CH 0356,25201,21752
,1-Jan,CH 0357,12057,11322
,1-Jan,CH 0358,3807,3317
,1-Jan,CH 0359,10816,8987
,1-Jan,CH 0360,19095,17526
,1-Jan,CH 0361,27419,26003
,1-Jan,CH 0362,14649,13548
,1-Jan,CH 0363,9093,8549
,1-Jan,CH 0364,24808,22157
,1-Jan,CH 0365,21782,18619
,1-Jan,CH 0366,9066,7579
,1-Jan,CH 0367,31714,26667
,1-Jan,CH 0368,42855,37656
,1-Jan,CH 0369,37260,34468
,1-Jan,CH 0370,7407,6378
,1-Jan,CH 0371,40239,32947
,1-Jan,CH 0372,23843,20158
,1-Jan,CH 0373,31679,25376
,1-Jan,CH 0374,20376,17882
,1-Jan,CH 0375,28828,23995
,1-Jan,CH 0376,13945,12590
,1-Jan,CH 0377,29806,26387
,1-Jan,CH 0378,19652,16887
,1-Jan,CH 0379,27189,22809
,1-Jan,CH 0380,12147,11189
,1-Jan,CH 0381,20112,16323
,1-Jan,CH 0382,28250,23350
,1-Jan,CH 0383,11778,10165
,1-Jan,CH 0384,9401,7541
,1-Jan,CH 0385,22307,20200
,1-Jan,CH 0386,10162,9418
,1-Jan,CH 0387,31171,27263
,1-Jan,CH 0388,27091,22935
,1-Jan,CH 0389,20562,18288
,1-Jan,CH 0390,50993,46089
,1-Jan,CH 0391,12568,10095
,1-Jan,CH 0392,11083,10117
,1-Jan,CH 0393,14948,12782
,1-Jan,CH 0394,31371,26717
,1-Jan,CH 0395,45969,39739
,1-Jan,CH 0396,48324,40231
,1-Jan,CH 0397,22062,18144
,1-Jan,CH 0398,10977,9982
,1-Jan,CH 0399,12138,10619
,1-Jan,CH 0400,3290,2731
,1-Jan,CH 0401,20700,17577
,1-Jan,CH 0402,36379,30164
,1-Jan,CH 0403,31940,29055
,1-Jan,CH 0404,11127,10181
,1-Jan,CH 0405,32430,27717
,1-Jan,CH 0406,25581,21348
,1-Jan,CH 0407,28544,23700
,1-Jan,CH 0408,35814,33333
,1-Jan,CH 0409,33877,27702
,1-Jan,CH 0410,7399,6923
,1-Jan,CH 0411,6780,6029
,1-Jan,CH 0412,36501,31226
,1-Jan,CH 0413,37645,30553
,1-Jan,CH 0414,12435,10888
,1-Jan,CH 0415,15429,13405
,1-Jan,CH 0416,18463,15725
,1-Jan,CH 0417,14640,12724
,1-Jan,CH 0418,34216,31818
,1-Jan,CH 0419,28995,26488
,1-Jan,CH 0420,29908,26364
,1-Jan,CH 0421,20990,18280
,1-Jan,CH 0422,12385,10490
,1-Jan,CH 0423,13631,12847
,1-Jan,CH 0424,19203,17769
,1-Jan,CH 0425,26012,22003
,1-Jan,CH 0426,25312,21337
,1-Jan,CH 0427,24586,20986
,1-Jan,CH 0428,14700,13124
,1-Jan,CH 0429,30077,24339
,1-Jan,CH 0430,49714,46355
,1-Jan,CH 0431,23500,20733
,1-Jan,CH 0432,27478,24142
,1-Jan,CH 0433,20686,18826
,1-Jan,CH 0434,33524,31633
,1-Jan,CH 0435,24721,23257
,1-Jan,CH 0436,28469,23667
,1-Jan,CH 0437,23327,21451
,1-Jan,CH 0438,23293,21328
,1-Jan,CH 0439,13290,10736
,1-Jan,CH 0440,4111,3308
,1-Jan,CH 0441,20760,19004
,1-Jan,CH 0442,7671,6251
,1-Jan,CH 0443,19329,17150
,1-Jan,CH 0444,34723,28721
,1-Jan,CH 0445,13934,12052
,1-Jan,CH 0446,29380,25931
,1-Jan,CH 0447,33300,27911
,1-Jan,CH 0448,23705,20576
,1-Jan,CH 0449,17141,14089
,1-Jan,CH 0450,37033,32602
,1-Jan,CH 0451,19369,16274
,1-Jan,CH 0452,19535,18250
,1-Jan,CH 0453,13749,11370
,1-Jan,CH 0454,26364,24445
,1-Jan,CH 0455,40453,37182
,1-Jan,CH 0456,20900,16801
,1-Jan,CH 0457,15788,13709
,1-Jan,CH 0458,24432,20365
,1-Jan,CH 0459,14431,12312
,1-Jan,CH 0460,38996,36993
,1-Jan,CH 0461,19027,15688
,1-Jan,CH 0462,34765,28013
,1-Jan,CH 0463,10107,9491
,1-Jan,CH 0464,39817,34185
,1-Jan,CH 0465,22758,19543
,1-Jan,CH 0466,22706,18659
,1-Jan,CH 0467,16365,13739
,1-Jan,CH 0468,36555,33113
,1-Jan,CH 0469,9971,8586
,1-Jan,CH 0470,8062,7392
,1-Jan,CH 0471,18497,14906
,1-Jan,CH 0472,50657,45944
,1-Jan,CH 0473,4311,3762
,1-Jan,CH 0474,17645,15401
,1-Jan,CH 0475,48042,45603
,1-Jan,CH 0476,26653,23042
,1-Jan,CH 0477,4596,3764
,1-Jan,CH 0478,146,134
,1-Jan,CH 0479,22007,18415
,1-Jan,CH 0480,5458,4601
,1-Jan,CH 0481,3249,2978
,1-Jan,CH 0482,6996,5931
,1-Jan,CH 0483,2158,1877
,1-Jan,CH 0484,13315,10857
,1-Jan,CH 0485,4303,4068
,1-Jan,CH 0486,10146,8470
,1-Jan,CH 0487,1509,1317
,1-Jan,CH 0488,9538,8980
,1-Jan,CH 0489,956,781
,1-Jan,CH 0490,3041,2470
,1-Jan,CH 0491,7959,6660
,1-Jan,CH 0492,5782,5266
,1-Jan,CH 0493,9789,8698
,1-Jan,CH 0494,13537,12301
,1-Jan,CH 0495,6787,6227
,1-Jan,CH 0496,385,335
,1-Jan,CH 0497,394,339
,1-Jan,CH 0498,2693,2370
,1-Jan,CH 0499,3669,3013
,1-Jan,CH 0500,2400,2177
,1-Jan,CH 0501,4807,3999
,1-Jan,CH 0502,609,500
,1-Jan,CH 0503,29549,24310
,1-Jan,CH 0504,37974,31976
,1-Jan,CH 0505,35727,30535
,1-Jan,CH 0506,35073,28320
,1-Jan,CH 0507,31626,28465
,1-Jan,CH 0508,23367,18728
,1-Jan,CH 0509,20958,18323
,1-Jan,CH 0510,30330,24544
,1-Jan,CH 0511,45430,36840
,1-Jan,CH 0512,23853,21816
,1-Jan,CH 0513,9670,8433
,1-Jan,CH 0514,16451,15552
,1-Jan,CH 0515,35213,32645
,1-Jan,CH 0516,34526,30137
,1-Jan,CH 0517,37563,35342
,1-Jan,CH 0518,30556,28863
,1-Jan,CH 0519,28756,23542
,1-Jan,CH 0520,48938,46209
,1-Jan,CH 0521,15966,14783
,1-Jan,CH 0522,45615,42948
,1-Jan,CH 0523,8915,7353
,1-Jan,CH 0524,32199,25968
,1-Jan,CH 0525,53945,47963
,1-Jan,CH 0526,27560,22944
,1-Jan,CH 0527,6710,5775
,1-Jan,CH 0528,20520,16949
,1-Jan,CH 0529,40587,36160
,1-Jan,CH 0530,19110,16594
,1-Jan,CH 0531,33267,30914
,1-Jan,CH 0532,25461,22103
,1-Jan,CH 0533,44293,41578
,1-Jan,CH 0534,1748,1581
,1-Jan,CH 0535,43710,37137
,1-Jan,CH 0536,42238,34894
,1-Jan,CH 0537,26444,23822
,1-Jan,CH 0538,33799,28607
,1-Jan,CH 0539,25,21
,1-Jan,CH 0540,2099,1729
,1-Jan,CH 0541,14438,11788
,1-Jan,CH 0542,22788,21349
,1-Jan,CH 0543,39670,33504
,1-Jan,CH 0544,10996,10317
,1-Jan,CH 0545,16082,13448
,1-Jan,CH 0546,32206,30166
,1-Jan,CH 0547,90,75
,1-Jan,CH 0548,22724,18227
,1-Jan,CH 0549,16056,13551
,1-Jan,CH 0550,33408,29440
,1-Jan,CH 0551,38202,34360
,1-Jan,CH 0552,19093,17793
,1-Jan,CH 0553,25788,22752
,1-Jan,CH 0554,27564,22774
,1-Jan,CH 0555,36695,32030
,1-Jan,CH 0556,6553,5567
,1-Jan,CH 0557,25392,21185
,1-Jan,CH 0558,27142,23762
,1-Jan,CH 0559,28360,25755
,1-Jan,CH 0560,30189,28454
,1-Jan,CH 0561,28602,26016
,1-Jan,CH 0562,38077,33698
,1-Jan,CH 0563,33674,27267
,1-Jan,CH 0564,37682,32211
,1-Jan,CH 0565,26941,22751
,1-Jan,CH 0566,23061,20485
,1-Jan,CH 0567,24416,22697
,1-Jan,CH 0568,40752,33143
,1-Jan,CH 0569,30326,24804
,1-Jan,CH 0570,36971,35035
,1-Jan,CH 0571,26398,23700
,1-Jan,CH 0572,18191,16973
,1-Jan,CH 0573,44285,38001
,1-Jan,CH 0574,23889,20614
,1-Jan,CH 0575,26382,24953
,1-Jan,CH 0576,33745,27175
,1-Jan,CH 0577,34452,30530
,1-Jan,CH 0578,21414,18159
,1-Jan,CH 0579,21578,18297
,1-Jan,CH 0580,19460,15838
,1-Jan,CH 0581,20209,17057
,1-Jan,CH 0582,16462,13234
,1-Jan,CH 0583,44923,41006
,1-Jan,CH 0584,42463,39960
,1-Jan,CH 0585,21442,19684
,1-Jan,CH 0586,38282,32361
,1-Jan,CH 0587,26427,22458
,1-Jan,CH 0588,31268,28649
,1-Jan,CH 0589,32865,26388
,1-Jan,CH 0590,19492,16073
,1-Jan,CH 0591,31190,26228
,1-Jan,CH 0592,42237,35237
,1-Jan,CH 0593,19715,17343
,1-Jan,CH 0594,16044,13824
,1-Jan,CH 0595,4780,3893
,1-Jan,CH 0596,31764,27563
,1-Jan,CH 0597,31322,28072
,1-Jan,CH 0598,35196,28374
,1-Jan,CH 0599,13863,12880
,1-Jan,CH 0600,22930,21230
,1-Jan,CH 0601,15409,14061
,1-Jan,CH 0602,40452,33222
,1-Jan,CH 0603,35392,30981
,1-Jan,CH 0604,26904,24642
,1-Jan,CH 0605,30219,24323
,1-Jan,CH 0606,25188,20667
,1-Jan,CH 0607,29011,27504
,1-Jan,CH 0608,30155,27746
,1-Jan,CH 0609,22137,18143
,1-Jan,CH 0610,4507,3772
,1-Jan,CH 0611,11313,9582
,1-Jan,CH 0612,34572,29688
,1-Jan,CH 0613,34919,28142
,1-Jan,CH 0614,36755,32433
,1-Jan,CH 0615,27093,24704
,1-Jan,CH 0616,29971,28385
,1-Jan,CH 0617,42753,38842
,1-Jan,CH 0618,23337,19539
,1-Jan,CH 0619,28858,23226
,1-Jan,CH 0620,20929,17463
,1-Jan,CH 0621,34189,28745
,1-Jan,CH 0622,26033,23266
,1-Jan,CH 0623,40191,33925
,1-Jan,CH 0624,20874,18525
,1-Jan,CH 0625,16940,15127
,1-Jan,CH 0626,16230,15385
,1-Jan,CH 0627,15923,12807
,1-Jan,CH 0628,18711,15452
,1-Jan,CH 0629,35872,34022
,1-Jan,CH 0630,27699,23481
,1-Jan,CH 0631,22460,18662
,1-Jan,CH 0632,17559,14235
,1-Jan,CH 0633,32402,28707
,1-Jan,CH 0634,30205,25495
,1-Jan,CH 0635,14036,11447
,1-Jan,CH 0636,29830,25237
,1-Jan,CH 0637,1914,1772
,1-Jan,CH 0638,24488,20606
,1-Jan,CH 0639,26845,23843
,1-Jan,CH 0640,16051,13207
,1-Jan,CH 0641,51711,42802
,1-Jan,CH 0642,27852,26106
,1-Jan,CH 0643,32124,29284
,1-Jan,CH 0644,17627,16460
,1-Jan,CH 0645,48557,43712
,1-Jan,CH 0646,46270,39787
,1-Jan,CH 0647,38444,32247
,1-Jan,CH 0648,25238,21072
,1-Jan,CH 0649,15321,14000
,1-Jan,CH 0650,37537,33154
,1-Jan,CH 0651,38321,32395
,1-Jan,CH 0652,13586,12587
,1-Jan,CH 0653,18912,17606
,1-Jan,CH 0654,26137,22268
,1-Jan,CH 0655,19896,18196
,1-Jan,CH 0656,33557,30251
,1-Jan,CH 0657,40739,36174
,1-Jan,CH 0658,25840,23528
,1-Jan,CH 0659,29391,23779
,1-Jan,CH 0660,32270,27421
,1-Jan,CH 0661,28656,24928
,1-Jan,CH 0662,13453,11671
,1-Jan,CH 0663,593,500
,1-Jan,CH 0664,94,75
,1-Jan,CH 0665,4845,4590
,1-Jan,CH 0666,971,848
,1-Jan,CH 0667,5594,4774
,1-Jan,CH 0668,1175,1079
,1-Jan,CH 0669,5253,4444
,1-Jan,CH 0670,2758,2280
,1-Jan,CH 0671,7422,6111
,1-Jan,CH 0672,11501,10912
,1-Jan,CH 0673,2408,2193
,1-Jan,CH 0674,930,866
,1-Jan,CH 0675,7520,6680
,1-Jan,CH 0676,2332,2073
,1-Jan,CH 0677,630,563
,1-Jan,CH 0678,911,816
,1-Jan,CH 0679,14199,12265
,1-Jan,CH 0680,1531,1250
,1-Jan,CH 0681,1526,1336
,1-Jan,CH 0682,344,307
,1-Jan,CH 0683,9857,9187
,1-Jan,CH 0684,7485,6184
,1-Jan,CH 0685,7856,7261
,1-Jan,CH 0686,5785,5494
,1-Jan,CH 0687,26167,24820
,1-Jan,CH 0688,13611,12800
,1-Jan,CH 0689,26761,24664
,1-Jan,CH 0690,39655,33964
,1-Jan,CH 0691,27767,26374
,1-Jan,CH 0692,39978,37350
,1-Jan,CH 0693,33978,27315
,1-Jan,CH 0694,30865,25982
,1-Jan,CH 0695,44677,38030
,1-Jan,CH 0696,25403,24008
,1-Jan,CH 0697,23389,20973
,1-Jan,CH 0698,22785,21021
,1-Jan,CH 0699,22977,19624
,1-Jan,CH 0700,28027,25581
,1-Jan,CH 0701,25628,21058
,1-Jan,CH 0702,11921,11132
,1-Jan,CH 0703,10921,9170
,1-Jan,CH 0704,12785,11489
,1-Jan,CH 0705,31026,28718
,1-Jan,CH 0706,22783,19757
,1-Jan,CH 0707,10927,9236
,1-Jan,CH 0708,31814,25816
,1-Jan,CH 0709,27882,25648
,1-Jan,CH 0710,11641,10547
,1-Jan,CH 0711,31737,26554
,1-Jan,CH 0712,35804,32121
,1-Jan,CH 0713,32519,26460
,1-Jan,CH 0714,37453,33416
,1-Jan,CH 0715,20429,16505
,1-Jan,CH 0716,18536,15493
,1-Jan,CH 0717,17423,14421
,1-Jan,CH 0718,12373,10245
,1-Jan,CH 0719,4617,3945
,1-Jan,CH 0720,16409,14621
,1-Jan,CH 0721,39913,32974
,1-Jan,CH 0722,20154,17892
,1-Jan,CH 0723,30251,27546
,1-Jan,CH 0724,24166,22169
,1-Jan,CH 0725,19437,18456
,1-Jan,CH 0726,44484,38253
,1-Jan,CH 0727,15391,14482
,1-Jan,CH 0728,16213,14565
,1-Jan,CH 0729,16084,14546
,1-Jan,CH 0730,3916,3618
,1-Jan,CH 0731,8523,7937
,1-Jan,CH 0732,24998,22581
,1-Jan,CH 0733,28970,25562
,1-Jan,CH 0734,18113,16145
