,,
,Mã Cửa Hàng,Tỉnh
,CH 0110,Ha Noi
,CH 0111,Ha Noi
,CH 0112,Ha Noi
,CH 0113,Ha Noi
,CH 0114,Ha Noi
,CH 0115,Ha Noi
,CH 0116,Ha Noi
,CH 0117,Ha Noi
,CH 0118,Ha Noi
,CH 0119,Ha Noi
,CH 0120,Ha Noi
,CH 0121,Ha Noi
,CH 0122,Ha Noi
,CH 0123,Ha Noi
,CH 0124,Ha Noi
,CH 0125,Ha Noi
,CH 0126,Ha Noi
,CH 0127,Ha Noi
,CH 0128,Ha Noi
,CH 0129,Ha Noi
,CH 0130,Ha Noi
,CH 0131,Ha Noi
,CH 0132,Ha Noi
,CH 0133,Ha Noi
,CH 0134,Ha Noi
,CH 0135,Ha Noi
,CH 0136,Ha Noi
,CH 0137,Ha Noi
,CH 0138,Ha Noi
,CH 0139,Ha Noi
,CH 0140,Ha Noi
,CH 0141,Ha Noi
,CH 0142,Ha Noi
,CH 0143,Ha Noi
,CH 0144,Ha Noi
,CH 0145,Ha Noi
,CH 0146,Ha Noi
,CH 0147,Ha Noi
,CH 0148,Ha Noi
,CH 0149,Ha Noi
,CH 0150,Ha Noi
,CH 0151,Ha Noi
,CH 0152,Ha Noi
,CH 0153,Ha Noi
,CH 0154,Ha Noi
,CH 0155,Ha Noi
,CH 0156,Ha Noi
,CH 0157,Ha Noi
,CH 0158,Ha Noi
,CH 0159,Ha Noi
,CH 0160,Ha Noi
,CH 0161,Ha Noi
,CH 0162,Ha Noi
,CH 0163,Ha Noi
,CH 0164,Ha Noi
,CH 0165,Ha Noi
,CH 0166,Ha Noi
,CH 0167,Ha Noi
,CH 0168,Ha Noi
,CH 0169,Ha Noi
,CH 0170,Ha Noi
,CH 0171,Ha Noi
,CH 0172,Ha Noi
,CH 0173,Ha Noi
,CH 0174,Ha Noi
,CH 0175,Ha Noi
,CH 0176,Ha Noi
,CH 0177,Ha Noi
,CH 0178,Ha Noi
,CH 0179,Ha Noi
,CH 0180,Ha Noi
,CH 0181,Ha Noi
,CH 0182,Ha Noi
,CH 0183,Ha Noi
,CH 0184,Ha Noi
,CH 0185,Ha Noi
,CH 0186,Ha Noi
,CH 0187,Ha Noi
,CH 0188,Ha Noi
,CH 0189,Ha Noi
,CH 0190,Ha Noi
,CH 0191,Ha Noi
,CH 0192,Ha Noi
,CH 0193,Ha Noi
,CH 0194,Ha Noi
,CH 0195,Ha Noi
,CH 0196,Ha Noi
,CH 0197,Ha Noi
,CH 0198,Ha Noi
,CH 0199,Ha Noi
,CH 0200,Ha Noi
,CH 0201,Ha Noi
,CH 0202,Ha Noi
,CH 0203,Ha Noi
,CH 0204,Ha Noi
,CH 0205,Ha Noi
,CH 0206,Ha Noi
,CH 0207,Ha Noi
,CH 0208,Ha Noi
,CH 0209,Ha Noi
,CH 0210,Ha Noi
,CH 0211,Ha Noi
,CH 0212,Ha Noi
,CH 0213,Ha Noi
,CH 0214,Ha Noi
,CH 0215,Ha Noi
,CH 0216,Ha Noi
,CH 0217,Ha Noi
,CH 0218,Ha Noi
,CH 0219,Ha Noi
,CH 0220,Ha Noi
,CH 0221,Ha Noi
,CH 0222,Ha Noi
,CH 0223,Ha Noi
,CH 0224,Ha Noi
,CH 0225,Ha Noi
,CH 0226,Ha Noi
,CH 0227,Ha Noi
,CH 0228,Ha Noi
,CH 0229,Ha Noi
,CH 0230,Ha Noi
,CH 0231,Ha Noi
,CH 0232,Ha Noi
,CH 0233,Ha Noi
,CH 0234,Ha Noi
,CH 0235,Ha Noi
,CH 0236,Ha Noi
,CH 0237,Ha Noi
,CH 0238,Ha Noi
,CH 0239,Ha Noi
,CH 0240,Ha Noi
,CH 0241,Ha Noi
,CH 0242,Ha Noi
,CH 0243,Ha Noi
,CH 0244,Ha Noi
,CH 0245,Ha Noi
,CH 0246,Ha Noi
,CH 0247,Ha Noi
,CH 0248,Ha Noi
,CH 0249,Ha Noi
,CH 0250,Ha Noi
,CH 0251,Ha Noi
,CH 0252,Ha Noi
,CH 0253,Ha Noi
,CH 0254,Ha Noi
,CH 0255,Ha Noi
,CH 0256,Ha Noi
,CH 0257,Ha Noi
,CH 0258,Ha Noi
,CH 0259,Ha Noi
,CH 0260,Ha Noi
,CH 0261,Ha Noi
,CH 0262,Ha Noi
,CH 0263,Ha Noi
,CH 0264,Ha Noi
,CH 0265,Ha Noi
,CH 0266,Ha Noi
,CH 0267,Ha Noi
,CH 0268,Ha Noi
,CH 0269,Ha Noi
,CH 0270,Ha Noi
,CH 0271,Ha Noi
,CH 0272,Ha Noi
,CH 0273,Ha Noi
,CH 0274,Ha Noi
,CH 0275,Ha Noi
,CH 0276,Ha Noi
,CH 0277,Ha Noi
,CH 0278,Ha Noi
,CH 0279,Ha Noi
,CH 0280,Ha Noi
,CH 0281,Ha Noi
,CH 0282,Ha Noi
,CH 0283,Ha Noi
,CH 0284,Ha Noi
,CH 0285,Ha Noi
,CH 0286,Ha Noi
,CH 0287,Ha Noi
,CH 0288,Ha Noi
,CH 0289,Ha Noi
,CH 0290,Ha Noi
,CH 0291,Ha Noi
,CH 0292,Ha Noi
,CH 0293,Ha Noi
,CH 0294,Ha Noi
,CH 0295,Ha Noi
,CH 0296,Ha Noi
,CH 0297,Ha Noi
,CH 0298,Ha Noi
,CH 0299,Ha Noi
,CH 0300,Ha Noi
,CH 0301,Ha Noi
,CH 0302,Ha Noi
,CH 0303,Ha Noi
,CH 0304,Ha Noi
,CH 0305,Ha Noi
,CH 0306,Ha Noi
,CH 0307,Ha Noi
,CH 0308,Ha Noi
,CH 0309,Ha Noi
,CH 0310,Ha Noi
,CH 0311,Ha Noi
,CH 0312,Ha Noi
,CH 0313,Ha Noi
,CH 0314,Ha Noi
,CH 0315,Ha Noi
,CH 0316,Ha Noi
,CH 0317,Ha Noi
,CH 0318,Ha Noi
,CH 0319,Ha Noi
,CH 0320,Ha Noi
,CH 0321,Ha Noi
,CH 0322,Ha Noi
,CH 0323,Ha Noi
,CH 0324,Ha Noi
,CH 0325,Ha Noi
,CH 0326,Ha Noi
,CH 0327,Ha Noi
,CH 0328,Ha Noi
,CH 0329,Ha Noi
,CH 0330,Ha Noi
,CH 0331,Ha Noi
,CH 0332,Ha Noi
,CH 0333,Ha Noi
,CH 0334,Ha Noi
,CH 0335,Ha Noi
,CH 0336,Ha Noi
,CH 0337,Ha Noi
,CH 0338,Ha Noi
,CH 0339,Ha Noi
,CH 0340,Ha Noi
,CH 0341,Ha Noi
,CH 0342,Ha Noi
,CH 0343,Ha Noi
,CH 0344,Ha Noi
,CH 0345,Ha Noi
,CH 0346,Ha Noi
,CH 0347,Ha Noi
,CH 0348,Ha Noi
,CH 0349,Ha Noi
,CH 0350,Ha Noi
,CH 0351,Ha Noi
,CH 0352,Ha Noi
,CH 0353,Ha Noi
,CH 0354,Ha Noi
,CH 0355,Ha Noi
,CH 0356,Ha Noi
,CH 0357,Ha Noi
,CH 0358,Ha Noi
,CH 0359,Ha Noi
,CH 0360,Ha Noi
,CH 0361,Ha Noi
,CH 0362,Ha Noi
,CH 0363,Ha Noi
,CH 0364,Ha Noi
,CH 0365,Ha Noi
,CH 0366,Ha Noi
,CH 0367,Ha Noi
,CH 0368,Ha Noi
,CH 0369,Ha Noi
,CH 0370,Ha Noi
,CH 0371,Ha Noi
,CH 0372,Ha Noi
,CH 0373,Ha Noi
,CH 0374,Ha Noi
,CH 0375,Ha Noi
,CH 0376,Ha Noi
,CH 0377,Ha Noi
,CH 0378,Ha Noi
,CH 0379,Ha Noi
,CH 0380,Ha Noi
,CH 0381,Ha Noi
,CH 0382,Ha Noi
,CH 0383,Ha Noi
,CH 0384,Ha Noi
,CH 0385,Ha Noi
,CH 0386,Ha Noi
,CH 0387,Ha Noi
,CH 0388,Ha Noi
,CH 0389,Ha Noi
,CH 0390,Ha Noi
,CH 0391,Ha Noi
,CH 0392,Ha Noi
,CH 0393,Ha Noi
,CH 0394,Ha Noi
,CH 0395,Ha Noi
,CH 0396,Ha Noi
,CH 0397,Ha Noi
,CH 0398,Ha Noi
,CH 0399,Ha Noi
,CH 0400,Ha Noi
,CH 0401,Ha Noi
,CH 0402,Ha Noi
,CH 0403,Ha Noi
,CH 0404,Ha Noi
,CH 0405,Ha Noi
,CH 0406,Ha Noi
,CH 0407,Ha Noi
,CH 0408,Ha Noi
,CH 0409,Ha Noi
,CH 0410,Ha Noi
,CH 0411,Ha Noi
,CH 0412,Ha Noi
,CH 0413,Ha Noi
,CH 0414,Ha Noi
,CH 0415,Ha Noi
,CH 0416,Ha Noi
,CH 0417,Ha Noi
,CH 0418,Ha Noi
,CH 0419,Ha Noi
,CH 0420,Ha Noi
,CH 0421,Ha Noi
,CH 0422,Ha Noi
,CH 0423,Ha Noi
,CH 0424,Ha Noi
,CH 0425,Ha Noi
,CH 0426,Ha Noi
,CH 0427,Ha Noi
,CH 0428,Ha Noi
,CH 0429,Ha Noi
,CH 0430,Ha Noi
,CH 0431,Ha Noi
,CH 0432,Ha Noi
,CH 0433,Ha Noi
,CH 0434,Ha Noi
,CH 0435,Ha Noi
,CH 0436,Ha Noi
,CH 0437,Ha Noi
,CH 0438,Ha Noi
,CH 0439,Ha Noi
,CH 0440,Ha Noi
,CH 0441,Ha Noi
,CH 0442,Ha Noi
,CH 0443,Ha Noi
,CH 0444,Ha Noi
,CH 0445,Ha Noi
,CH 0446,Ha Noi
,CH 0447,Ha Noi
,CH 0448,Ha Noi
,CH 0449,Ha Noi
,CH 0450,Ha Noi
,CH 0451,Ha Noi
,CH 0452,Ha Noi
,CH 0453,Ha Noi
,CH 0454,Ha Noi
,CH 0455,Ha Noi
,CH 0456,Ha Noi
,CH 0457,Ha Noi
,CH 0458,Ha Noi
,CH 0459,Ha Noi
,CH 0460,Ha Noi
,CH 0461,Ha Noi
,CH 0462,Ha Noi
,CH 0463,Ha Noi
,CH 0464,Ha Noi
,CH 0465,Ha Noi
,CH 0466,Ha Noi
,CH 0467,Ha Noi
,CH 0468,Ha Noi
,CH 0469,Ha Noi
,CH 0470,Ha Noi
,CH 0471,Ha Noi
,CH 0472,Ha Noi
,CH 0473,Ha Noi
,CH 0474,Ha Noi
,CH 0475,Ha Noi
,CH 0476,Ha Noi
,CH 0477,Ha Noi
,CH 0478,Ha Noi
,CH 0479,Ha Noi
,CH 0480,Ha Noi
,CH 0481,Ha Noi
,CH 0482,Ha Noi
,CH 0483,Ha Noi
,CH 0484,Ha Noi
,CH 0485,Ha Noi
,CH 0486,Ha Noi
,CH 0487,Ha Noi
,CH 0488,Ha Noi
,CH 0489,Ha Noi
,CH 0490,Ha Noi
,CH 0491,Ha Noi
,CH 0492,Ha Noi
,CH 0493,Ha Noi
,CH 0494,Bac Kan
,CH 0495,Bac Kan
,CH 0496,Bac Kan
,CH 0497,Bac Kan
,CH 0498,Bac Kan
,CH 0499,Bac Kan
,CH 0500,Bac Kan
,CH 0501,Bac Kan
,CH 0502,Bac Kan
,CH 0503,Bac Giang
,CH 0504,Bac Giang
,CH 0505,Bac Giang
,CH 0506,Bac Giang
,CH 0507,Bac Giang
,CH 0508,Bac Giang
,CH 0509,Bac Giang
,CH 0510,Bac Giang
,CH 0511,Bac Giang
,CH 0512,Bac Giang
,CH 0513,Bac Giang
,CH 0514,Bac Giang
,CH 0515,Bac Giang
,CH 0516,Bac Giang
,CH 0517,Bac Giang
,CH 0518,Bac Giang
,CH 0519,Bac Giang
,CH 0520,Bac Giang
,CH 0521,Bac Giang
,CH 0522,Bac Giang
,CH 0523,Bac Giang
,CH 0524,Bac Giang
,CH 0525,Bac Giang
,CH 0526,Bac Giang
,CH 0527,Bac Giang
,CH 0528,Bac Giang
,CH 0529,Bac Giang
,CH 0530,Bac Giang
,CH 0531,Bac Giang
,CH 0532,Bac Giang
,CH 0533,Bac Giang
,CH 0534,Bac Giang
,CH 0535,Bac Giang
,CH 0536,Bac Giang
,CH 0537,Bac Giang
,CH 0538,Bac Giang
,CH 0539,Bac Giang
,CH 0540,Bac Giang
,CH 0541,Bac Giang
,CH 0542,Bac Giang
,CH 0543,Bac Giang
,CH 0544,Bac Giang
,CH 0545,Bac Giang
,CH 0546,Bac Giang
,CH 0547,Bac Giang
,CH 0548,Bac Giang
,CH 0549,Bac Giang
,CH 0550,Bac Giang
,CH 0551,Bac Giang
,CH 0552,Bac Ninh
,CH 0553,Bac Giang
,CH 0554,Bac Giang
,CH 0555,Bac Giang
,CH 0556,Bac Giang
,CH 0557,Bac Giang
,CH 0558,Bac Giang
,CH 0559,Bac Giang
,CH 0560,Bac Giang
,CH 0561,Bac Giang
,CH 0562,Bac Giang
,CH 0563,Bac Giang
,CH 0564,Bac Giang
,CH 0565,Bac Giang
,CH 0566,Bac Giang
,CH 0567,Bac Giang
,CH 0568,Bac Giang
,CH 0569,Bac Giang
,CH 0570,Bac Giang
,CH 0571,Bac Giang
,CH 0572,Bac Giang
,CH 0573,Bac Giang
,CH 0574,Bac Giang
,CH 0575,Bac Giang
,CH 0576,Bac Giang
,CH 0577,Bac Giang
,CH 0578,Bac Giang
,CH 0579,Bac Giang
,CH 0580,Bac Giang
,CH 0581,Bac Giang
,CH 0582,Bac Giang
,CH 0583,Bac Giang
,CH 0584,Bac Giang
,CH 0585,Bac Giang
,CH 0586,Bac Giang
,CH 0587,Bac Giang
,CH 0588,Bac Giang
,CH 0589,Bac Giang
,CH 0590,Bac Giang
,CH 0591,Bac Giang
,CH 0592,Bac Giang
,CH 0593,Bac Giang
,CH 0594,Bac Giang
,CH 0595,Bac Ninh
,CH 0596,Bac Ninh
,CH 0597,Bac Ninh
,CH 0598,Bac Ninh
,CH 0599,Bac Ninh
,CH 0600,Bac Ninh
,CH 0601,Bac Ninh
,CH 0602,Bac Ninh
,CH 0603,Bac Ninh
,CH 0604,Bac Ninh
,CH 0605,Bac Ninh
,CH 0606,Bac Ninh
,CH 0607,Bac Ninh
,CH 0608,Bac Ninh
,CH 0609,Bac Ninh
,CH 0610,Bac Ninh
,CH 0611,Bac Giang
,CH 0612,Bac Ninh
,CH 0613,Bac Ninh
,CH 0614,Bac Ninh
,CH 0615,Bac Ninh
,CH 0616,Bac Ninh
,CH 0617,Bac Ninh
,CH 0618,Bac Ninh
,CH 0619,Bac Ninh
,CH 0620,Bac Ninh
,CH 0621,Bac Ninh
,CH 0622,Bac Ninh
,CH 0623,Bac Ninh
,CH 0624,Bac Ninh
,CH 0625,Bac Ninh
,CH 0626,Bac Ninh
,CH 0627,Bac Ninh
,CH 0628,Bac Ninh
,CH 0629,Bac Ninh
,CH 0630,Bac Ninh
,CH 0631,Ha Noi
,CH 0632,Bac Ninh
,CH 0633,Bac Ninh
,CH 0634,Bac Ninh
,CH 0635,Bac Ninh
,CH 0636,Bac Ninh
,CH 0637,Bac Ninh
,CH 0638,Bac Ninh
,CH 0639,Bac Ninh
,CH 0640,Bac Ninh
,CH 0641,Bac Ninh
,CH 0642,Bac Ninh
,CH 0643,Bac Ninh
,CH 0644,Bac Ninh
,CH 0645,Bac Ninh
,CH 0646,Bac Ninh
,CH 0647,Bac Ninh
,CH 0648,Bac Ninh
,CH 0649,Bac Ninh
,CH 0650,Bac Ninh
,CH 0651,Bac Ninh
,CH 0652,Bac Ninh
,CH 0653,Bac Ninh
,CH 0654,Bac Ninh
,CH 0655,Bac Ninh
,CH 0656,Bac Ninh
,CH 0657,Bac Ninh
,CH 0658,Bac Ninh
,CH 0659,Bac Ninh
,CH 0660,Bac Ninh
,CH 0661,Bac Ninh
,CH 0662,Cao Bang
,CH 0663,Cao Bang
,CH 0664,Cao Bang
,CH 0665,Cao Bang
,CH 0666,Cao Bang
,CH 0667,Cao Bang
,CH 0668,Cao Bang
,CH 0669,Cao Bang
,CH 0670,Cao Bang
,CH 0671,Cao Bang
,CH 0672,Cao Bang
,CH 0673,Cao Bang
,CH 0674,Cao Bang
,CH 0675,Ha Giang
,CH 0676,Ha Giang
,CH 0677,Ha Giang
,CH 0678,Ha Giang
,CH 0679,Ha Giang
,CH 0680,Ha Giang
,CH 0681,Ha Giang
,CH 0682,Ha Giang
,CH 0683,Ha Giang
,CH 0684,Ha Giang
,CH 0685,Ha Giang
,CH 0686,Ha Giang
,CH 0687,Ha Noi
,CH 0688,Bac Ninh
,CH 0689,Ha Noi
,CH 0690,Ha Noi
,CH 0691,Ha Noi
,CH 0692,Ha Noi
,CH 0693,Ha Noi
,CH 0694,Ha Noi
,CH 0695,Ha Noi
,CH 0696,Ha Noi
,CH 0697,Ha Noi
,CH 0698,Ha Noi
,CH 0699,Ha Noi
,CH 0700,Ha Noi
,CH 0701,Ha Noi
,CH 0702,Ha Noi
,CH 0703,Ha Noi
,CH 0704,Ha Noi
,CH 0705,Ha Noi
,CH 0706,Ha Noi
,CH 0707,Ha Noi
,CH 0708,Ha Noi
,CH 0709,Ha Noi
,CH 0710,Ha Noi
,CH 0711,Ha Noi
,CH 0712,Ha Noi
,CH 0713,Ha Noi
,CH 0714,Ha Noi
,CH 0715,Ha Noi
,CH 0716,Ha Noi
,CH 0717,Ha Noi
,CH 0718,Ha Noi
,CH 0719,Ha Noi
,CH 0720,Ha Noi
,CH 0721,Ha Noi
,CH 0722,Ha Noi
,CH 0723,Ha Noi
,CH 0724,Ha Noi
,CH 0725,Ha Noi
,CH 0726,Ha Noi
,CH 0727,Ha Noi
,CH 0728,Ha Noi
,CH 0729,Ha Noi
,CH 0730,Ha Noi
,CH 0731,Ha Noi
,CH 0732,Ha Noi
,CH 0733,Ha Noi
,CH 0734,Ha Noi
,CH 0735,Ha Noi
,CH 0736,Ha Noi
,CH 0737,Ha Noi
,CH 0738,Ha Noi
,CH 0739,Ha Noi
,CH 0740,Ha Noi
,CH 0741,Ha Noi
,CH 0742,Ha Noi
,CH 0743,Ha Noi
,CH 0744,Ha Noi
,CH 0745,Ha Noi
,CH 0746,Ha Noi
,CH 0747,Ha Noi
,CH 0748,Ha Noi
,CH 0749,Ha Noi
,CH 0750,Ha Noi
,CH 0751,Ha Noi
,CH 0752,Ha Noi
,CH 0753,Ha Noi
,CH 0754,Ha Noi
,CH 0755,Ha Noi
,CH 0756,Ha Noi
,CH 0757,Ha Noi
,CH 0758,Ha Noi
,CH 0759,Ha Noi
,CH 0760,Ha Noi
,CH 0761,Ha Noi
,CH 0762,Ha Noi
,CH 0763,Ha Noi
,CH 0764,Ha Noi
,CH 0765,Ha Noi
,CH 0766,Ha Noi
,CH 0767,Ha Noi
,CH 0768,Ha Noi
,CH 0769,Ha Noi
,CH 0770,Ha Noi
,CH 0771,Ha Noi
,CH 0772,Ha Noi
,CH 0773,Ha Noi
,CH 0774,Ha Noi
,CH 0775,Ha Noi
,CH 0776,Ha Noi
,CH 0777,Ha Noi
,CH 0778,Ha Noi
,CH 0779,Ha Noi
,CH 0780,Ha Noi
,CH 0781,Ha Noi
,CH 0782,Ha Noi
,CH 0783,Ha Noi
,CH 0784,Ha Noi
,CH 0785,Ha Noi
,CH 0786,Ha Noi
,CH 0787,Ha Noi
,CH 0788,Ha Noi
,CH 0789,Ha Noi
,CH 0790,Ha Noi
,CH 0791,Ha Noi
,CH 0792,Ha Noi
,CH 0793,Ha Noi
,CH 0794,Ha Noi
,CH 0795,Ha Noi
,CH 0796,Ha Noi
,CH 0797,Ha Noi
,CH 0798,Ha Noi
,CH 0799,Ha Noi
,CH 0800,Ha Noi
,CH 0801,Ha Noi
,CH 0802,Ha Noi
,CH 0803,Ha Noi
,CH 0804,Ha Noi
,CH 0805,Ha Noi
,CH 0806,Ha Noi
,CH 0807,Ha Noi
,CH 0808,Ha Noi
,CH 0809,Ha Noi
,CH 0810,Ha Noi
,CH 0811,Ha Noi
,CH 0812,Ha Noi
,CH 0813,Ha Noi
,CH 0814,Ha Noi
,CH 0815,Ha Noi
,CH 0816,Ha Noi
,CH 0817,Ha Noi
,CH 0818,Ha Noi
,CH 0819,Ha Noi
,CH 0820,Ha Noi
,CH 0821,Ha Noi
,CH 0822,Ha Noi
,CH 0823,Ha Noi
,CH 0824,Ha Noi
,CH 0825,Ha Noi
,CH 0826,Ha Noi
,CH 0827,Ha Noi
,CH 0828,Ha Noi
,CH 0829,Ha Noi
,CH 0830,Ha Noi
,CH 0831,Ha Noi
,CH 0832,Ha Noi
,CH 0833,Hung Yen
,CH 0834,Hung Yen
,CH 0835,Hung Yen
,CH 0836,Hung Yen
,CH 0837,Hung Yen
,CH 0838,Hung Yen
,CH 0839,Hung Yen
,CH 0840,Hung Yen
,CH 0841,Hung Yen
,CH 0842,Hung Yen
,CH 0843,Hung Yen
,CH 0844,Hung Yen
,CH 0845,Hung Yen
,CH 0846,Hung Yen
,CH 0847,Hung Yen
,CH 0848,Hung Yen
,CH 0849,Hung Yen
,CH 0850,Hung Yen
,CH 0851,Hung Yen
,CH 0852,Hung Yen
,CH 0853,Hung Yen
,CH 0854,Hung Yen
,CH 0855,Hung Yen
,CH 0856,Hung Yen
,CH 0857,Hung Yen
,CH 0858,Hung Yen
,CH 0859,Hung Yen
,CH 0860,Hung Yen
,CH 0861,Hung Yen
,CH 0862,Hung Yen
,CH 0863,Hung Yen
,CH 0864,Hung Yen
,CH 0865,Hung Yen
,CH 0866,Hung Yen
,CH 0867,Hung Yen
,CH 0868,Hung Yen
,CH 0869,Hung Yen
,CH 0870,Hung Yen
,CH 0871,Hung Yen
,CH 0872,Hung Yen
,CH 0873,Hung Yen
,CH 0874,Hung Yen
,CH 0875,Hung Yen
,CH 0876,Hung Yen
,CH 0877,Hung Yen
,CH 0878,Hung Yen
,CH 0879,Hung Yen
,CH 0880,Hung Yen
,CH 0881,Hung Yen
,CH 0882,Hung Yen
,CH 0883,Hung Yen
,CH 0884,Hung Yen
,CH 0885,Hung Yen
,CH 0886,Hung Yen
,CH 0887,Hung Yen
,CH 0888,Hung Yen
,CH 0889,Hung Yen
,CH 0890,Hung Yen
,CH 0891,Hung Yen
,CH 0892,Hung Yen
,CH 0893,Hung Yen
,CH 0894,Hung Yen
,CH 0895,Hung Yen
,CH 0896,Hung Yen
,CH 0897,Hung Yen
,CH 0898,Ha Noi
,CH 0899,Lai Chau
,CH 0900,Lai Chau
,CH 0901,Lai Chau
,CH 0902,Lai Chau
,CH 0903,Lai Chau
,CH 0904,Lang Son
,CH 0905,Lang Son
,CH 0906,Lang Son
,CH 0907,Lang Son
,CH 0908,Lang Son
,CH 0909,Lang Son
,CH 0910,Lang Son
,CH 0911,Lang Son
,CH 0912,Lang Son
,CH 0913,Lang Son
,CH 0914,Lang Son
,CH 0915,Lang Son
,CH 0916,Lang Son
,CH 0917,Lang Son
,CH 0918,Lang Son
,CH 0919,Lang Son
,CH 0920,Lang Son
,CH 0921,Lao Cai
,CH 0922,Lao Cai
,CH 0923,Lao Cai
,CH 0924,Lao Cai
,CH 0925,Lao Cai
,CH 0926,Lao Cai
,CH 0927,Lao Cai
,CH 0928,Lao Cai
,CH 0929,Lao Cai
,CH 0930,Lao Cai
,CH 0931,Lao Cai
,CH 0932,Lao Cai
,CH 0933,Lao Cai
,CH 0934,Lao Cai
,CH 0935,Lao Cai
,CH 0936,Lao Cai
,CH 0937,Lao Cai
,CH 0938,Thai Nguyen
,CH 0939,Thai Nguyen
,CH 0940,Thai Nguyen
,CH 0941,Thai Nguyen
,CH 0942,Thai Nguyen
,CH 0943,Thai Nguyen
,CH 0944,Thai Nguyen
,CH 0945,Thai Nguyen
,CH 0946,Thai Nguyen
,CH 0947,Thai Nguyen
,CH 0948,Thai Nguyen
,CH 0949,Thai Nguyen
,CH 0950,Thai Nguyen
,CH 0951,Thai Nguyen
,CH 0952,Thai Nguyen
,CH 0953,Thai Nguyen
,CH 0954,Thai Nguyen
,CH 0955,Thai Nguyen
,CH 0956,Thai Nguyen
,CH 0957,Thai Nguyen
,CH 0958,Thai Nguyen
,CH 0959,Thai Nguyen
,CH 0960,Thai Nguyen
,CH 0961,Thai Nguyen
,CH 0962,Thai Nguyen
,CH 0963,Thai Nguyen
,CH 0964,Thai Nguyen
,CH 0965,Thai Nguyen
,CH 0966,Thai Nguyen
,CH 0967,Thai Nguyen
,CH 0968,Thai Nguyen
,CH 0969,Thai Nguyen
,CH 0970,Thai Nguyen
,CH 0971,Thai Nguyen
,CH 0972,Thai Nguyen
,CH 0973,Thai Nguyen
,CH 0974,Thai Nguyen
,CH 0975,Thai Nguyen
,CH 0976,Thai Nguyen
,CH 0977,Thai Nguyen
,CH 0978,Thai Nguyen
,CH 0979,Thai Nguyen
,CH 0980,Thai Nguyen
,CH 0981,Thai Nguyen
,CH 0982,Thai Nguyen
,CH 0983,Thai Nguyen
,CH 0984,Thai Nguyen
,CH 0985,Thai Nguyen
,CH 0986,Thai Nguyen
